match_id,date,home_team,away_team,opponent,home_team_score,away_team_score,result,year
portland-thorns-fc-vs-houston-dash-2017-08-05,2017-08-05,POR,HOU,HOU,2,1,win,2017
chicago-red-stars-vs-portland-thorns-fc-2017-08-12,2017-08-12,CHI,POR,CHI,2,3,win,2017
fc-kansas-city-vs-portland-thorns-fc-2017-08-16,2017-08-16,KC,POR,KC,2,1,loss,2017
portland-thorns-fc-vs-houston-dash-2017-08-19,2017-08-19,POR,HOU,HOU,2,0,win,2017
seatle-reign-fc-vs-portland-thorns-fc-2017-08-26,2017-08-26,RGN,POR,RGN,1,2,win,2017
portland-thorns-fc-vs-washington-spirit-2017-09-02,2017-09-02,POR,WAS,WAS,4,0,win,2017
boston-breakers-vs-portland-thorns-fc-2017-09-10,2017-09-10,BOS,POR,BOS,0,1,win,2017
orlando-pride-vs-portland-thorns-fc-2017-09-23,2017-09-23,ORL,POR,ORL,0,0,tie,2017
portland-thorns-fc-vs-chicago-red-stars-2017-09-30,2017-09-30,POR,CHI,CHI,3,1,win,2017
portland-thorns-fc-vs-orlando-pride-2017-10-07,2017-10-07,POR,ORL,ORL,4,1,win,2017
north-carolina-courage-vs-portland-thorns-fc-2017-10-14,2017-10-14,NC,POR,NC,0,1,win,2017
north-carolina-courage-vs-portland-thorns-fc-2018-03-24,2018-03-24,NC,POR,NC,1,0,loss,2018
chicago-red-stars-vs-portland-thorns-fc-2018-03-31,2018-03-31,CHI,POR,CHI,2,3,win,2018
portland-thorns-fc-vs-orlando-pride-2018-04-15,2018-04-15,POR,ORL,ORL,2,1,win,2018
portland-thorns-fc-vs-washington-spirit-2018-04-20,2018-04-20,POR,WAS,WAS,1,1,tie,2018
utah-royals-fc-vs-portland-thorns-fc-2018-04-28,2018-04-28,UTA,POR,UTA,1,1,tie,2018
portland-thorns-fc-vs-seatle-reign-fc-2018-05-05,2018-05-05,POR,RGN,RGN,2,3,loss,2018
houston-dash-vs-portland-thorns-fc-2018-05-09,2018-05-09,HOU,POR,HOU,1,1,tie,2018
portland-thorns-fc-vs-orlando-pride-2018-05-12,2018-05-12,POR,ORL,ORL,1,2,loss,2018
washington-spirit-vs-portland-thorns-fc-2018-05-19,2018-05-19,WAS,POR,WAS,0,1,win,2018
portland-thorns-fc-vs-utah-royals-fc-2018-05-25,2018-05-25,POR,UTA,UTA,2,0,win,2018
portland-thorns-fc-vs-north-carolina-courage-2018-05-30,2018-05-30,POR,NC,NC,1,4,loss,2018
chicago-red-stars-vs-portland-thorns-fc-2018-06-16,2018-06-16,CHI,POR,CHI,1,1,tie,2018
